Peak,Compound,mean_RT,H2208,L2208
P1,,4.26,4.26,
P2,,4.322,4.322,
P3,,4.37,4.37,
P4,,4.708,4.708,
P5,,4.832,4.832,
P6,C10_ane_NA,4.932,4.922,4.942
P7,,5.018,5.018,
P8,,5.108,5.108,
P9,,5.246,5.246,
P10,,5.335,5.335,
P11,,5.618,,5.618
P12,,5.852,5.852,
P13,,5.956,5.956,
P14,,6.018,6.018,
P15,,6.108,6.108,
P16,,6.473,6.473,
P17,,6.535,6.535,
P18,,6.9485,6.956,6.941
P19,C11_ane_NA,7.1485,7.128,7.169
P20,,7.376,7.376,
P21,,7.507,7.507,
P22,,7.803,,7.803
P23,,7.99,7.99,
P24,,8.61,,8.61
P25,,8.707,8.707,
P26,,8.817,8.817,
P27,,9.342,9.342,
P28,C12_ane_NA,9.693,9.721,9.665
P29,,10.376,10.376,
P30,,10.672,10.672,
P31,,11.2925,11.32,11.265
P32,,11.458,,11.458
P33,,11.714,11.714,
P34,,12.045,12.045,
P35,C13_ane_NA,12.213,12.203,12.223
P36,,12.8685,12.872,12.865
P37,,13.034,13.031,13.037
P38,,13.782,13.789,13.775
P39,,14.168,14.168,
P40,,14.458,14.458,
P41,C14_ane_NA,14.709,14.685,14.733
P42,,15.051,15.051,
P43,,15.595,,15.595
P44,C15_ane_NA,17.147,,17.147
P45,,17.24,17.23,17.25
P46,,17.726,17.726,
P47,,18.047,18.03,18.064
P48,,18.512,18.512,
P49,C16_ane_NA,19.4225,19.388,19.457
P50,,21.0805,21.077,21.084
P51,C17_ane_NA,21.649,,21.649
P52,,22.188,22.188,
P53,,22.38,,22.38
P54,,22.691,,22.691
P55,,23.104,,23.104
P56,,23.566,,23.566
P57,C18_ane_NA,23.7115,23.677,23.746
P58,,24.2735,24.27,24.277
P59,,24.425,24.422,24.428
P60,,24.98,24.98,
P61,,25.125,25.118,25.132
P62,C19_ane_NA,25.7485,25.759,25.738
P63,,26.242,26.242,
P64,,26.952,26.945,26.959
P65,,27.4315,27.428,27.435
P66,C20_ane_NA,27.6245,27.601,27.648
P67,,28.138,28.138,
P68,,28.7585,28.752,28.765
P69,C21_ane_NA,29.4515,29.469,29.434
P70,,29.952,29.952,
P71,,30.176,30.173,30.179
P72,,30.69,30.69,
P73,C22_ane_NA,31.1965,31.221,31.172
P74,,31.524,31.531,31.517
P75,,31.69,31.69,
P76,,32.482,32.482,
P77,,32.6995,32.71,32.689
P78,C23_ane_NA,32.875,32.896,32.854
P79,,33.344,33.344,
P80,,33.8,33.8,
P81,,34.0405,34.013,34.068
P82,C24_ane_NA,34.4995,34.51,34.489
P83,,35.02,35.02,35.02
P84,C25_ane_NA,36.054,36.054,
P85,,36.3955,36.399,36.392
P86,,36.496,36.496,
P87,,36.7745,36.771,36.778
P88,,37.2055,37.213,37.198
P89,C26_ane_NA,37.544,37.544,
P90,,38.605,38.619,38.591
P91,C27_ane_NA,38.985,38.985,
P92,,39.2535,39.254,39.253
P93,,39.447,39.447,
P94,,39.909,39.909,
P95,,40.04,40.04,
P96,C28_ane_NA,40.371,40.371,
P97,,40.619,40.619,
P98,,40.7535,40.75,40.757
P99,,41.019,41.019,
P100,,41.1775,41.178,41.177
P101,C29_ane_NA,41.709,41.709,
P102,,42.26,42.26,
P103,C30_ane_NA,42.9875,42.998,42.977
P104,C31_ane_NA,44.253,44.253,
P105,,44.6595,44.66,44.659
P106,C32_ane_NA,45.466,45.466,
P107,,46.259,,46.259
P108,C33_ane_NA,46.646,46.646,
P109,C34_ane_NA,47.783,47.783,
P110,C35_ane_NA,48.9,48.9,
P111,C36_ane_NA,50.052,50.052,
P112,C37_ane_NA,51.397,51.397,
P113,C38_ane_NA,52.948,52.948,
P114,,53.754,,53.754
P115,,54.81,54.81,
P116,,57.037,57.037,
P117,,57.533,57.533,
