"","mean_RT","H_SSL_2203","L_SSL_2203"
"P1",4.129,4.129,0
"P2",4.253,4.253,0
"P3",4.3935,4.404,4.363
"P4",4.467,4.467,0
"P5",4.515,4.515,0
"P6",4.584,4.584,0
"P7",4.791,4.791,0
"P8",4.86,4.86,0
"P9",4.977,4.977,0
"P10",5.0795,5.073,5.066
"P11",5.163,5.163,0
"P12",5.26,5.26,0
"P13",5.404,5.404,0
"P14",5.48,5.48,0
"P15",6.011,6.011,0
"P16",6.108,6.108,0
"P17",6.184,6.184,0
"P18",6.266,6.266,0
"P19",6.556,6.556,0
"P20",6.632,6.632,0
"P21",6.701,6.701,0
"P22",7.3205,7.307,7.314
"P23",7.438,7.438,0
"P24",7.535,7.535,0
"P25",7.68,7.68,0
"P26",7.942,7.942,0
"P27",8.149,8.149,0
"P28",8.466,8.466,0
"P29",8.721,8.721,0
"P30",8.8345,8.866,8.783
"P31",8.99,8.99,0
"P32",9.4965,9.521,9.452
"P33",9.865,9.886,9.824
"P34",10.189,0,10.169
"P35",10.286,10.286,0
"P36",10.548,10.548,0
"P37",11.4685,11.5,11.417
"P38",11.872,11.872,0
"P39",12.224,12.224,0
"P40",12.4025,12.389,12.396
"P41",12.638,12.638,0
"P42",12.824,12.824,0
"P43",13.058,13.058,0
"P44",13.227,13.217,13.217
"P45",13.4165,13.424,13.389
"P46",13.989,13.989,0
"P47",14.355,14.355,0
"P48",14.858,14.858,0
"P49",14.933,0,14.913
"P50",15.237,15.237,0
"P51",16.216,0,16.196
"P52",17.353,0,17.333
"P53",17.44,17.43,17.43
"P54",17.768,17.768,0
"P55",17.919,17.919,0
"P56",18.237,18.237,0
"P57",19.581,19.581,0
"P58",19.656,0,19.636
"P59",21.111,0,21.091
"P60",21.284,21.271,21.277
"P61",21.856,0,21.836
"P62",22.277,0,22.257
"P63",22.381,22.381,0
"P64",22.904,0,22.884
"P65",23.318,0,23.298
"P66",23.787,0,23.767
"P67",23.952,0,23.932
"P68",24.4835,24.463,24.484
"P69",24.6355,24.622,24.629
"P70",25.3315,25.318,25.325
"P71",25.959,25.966,25.932
"P72",26.442,26.442,0
"P73",27.1655,27.152,27.159
"P74",27.638,27.621,27.635
"P75",27.8315,27.801,27.842
"P76",28.318,28.318,0
"P77",29.662,29.676,29.628
"P78",30.159,30.159,0
"P79",30.386,30.373,30.379
"P80",30.883,30.883,0
"P81",31.41,31.421,31.379
"P82",32.9095,32.91,32.889
"P83",33.0715,33.103,33.02
"P84",34.22,34.22,0
"P85",34.713,34.717,34.689
"P86",35.2265,35.22,35.213
"P87",36.261,36.261,0
"P88",36.995,36.985,36.985
"P89",37.416,37.413,37.399
"P90",37.758,37.758,0
"P91",39.199,39.199,0
"P92",39.474,0,39.454
"P93",40.13,40.13,0
"P94",40.585,40.585,0
"P95",40.9775,40.978,40.957
"P96",41.3945,41.391,41.378
"P97",41.929,41.929,0
"P98",42.474,42.474,0
"P99",43.211,43.232,43.17
"P100",44.487,44.487,0
"P101",44.887,0,44.867
"P102",45.708,45.708,0
"P103",46.4665,46.46,46.453
"P104",46.894,46.894,0
"P105",48.0175,48.045,47.97
"P106",49.156,49.156,0
"P107",50.362,50.362,0
"P108",51.079,0,51.059
"P109",51.748,51.748,0
"P110",53.362,53.362,0
"P111",55.265,55.265,0
"P112",57.575,57.575,0
