Name,GAPDH,RPL10,RPL19,Tub,subspecies,role
405,19.25,17.6,19.79,28.29,carnica,nurse
406,21.66,20.08,22.31,30.94,carnica,nurse
408,23.23,20.07,22.63,31.37,carnica,nurse
411,20.97,19.61,21.73,31.2,carnica,nurse
412,22.18,20.53,22.32,31.18,carnica,nurse
434,20.17,18.83,21.17,30.36,carnica,forager
435,19.86,19.12,21.66,31.96,carnica,forager
437,21.11,20.6,23.04,32.68,carnica,forager
439,20.84,17.73,19.89,31.82,carnica,forager
442,24.3,23.69,26.68,35.85,carnica,forager
474,22.19,20.84,23.37,31.75,iberiensis,nurse
477,21.18,17.74,19.9,30.09,iberiensis,nurse
480,21.46,17.95,20.54,30.28,iberiensis,nurse
481,21.58,21.14,22.17,32.44,iberiensis,nurse
482,22.61,21.31,23.34,32.68,iberiensis,nurse
484,19.16,16.86,19.47,28.96,iberiensis,forager
486,23.77,21.36,23.63,31.37,iberiensis,forager
489,22.89,19.67,21.74,31.35,iberiensis,forager
490,20.28,18.54,21.09,30.53,iberiensis,forager
491,22.86,20.82,23.93,33.66,iberiensis,forager
