Number,Season,Subsp.,Hive,Task,Temp.,Silica,Time,Status
651,S,Ib,10,Nu,45,F,40,T
652,S,Ib,10,PF,45,F,60,T
653,S,Ib,10,PF,45,T,60,T
654,S,Ib,10,PF,45,F,60,T
655,S,Ib,10,PF,45,F,60,T
656,S,Ib,10,PF,45,F,80,T
657,S,Ib,10,Nu,45,F,80,T
658,S,Ib,10,Nu,45,T,80,T
659,S,Ib,10,PF,45,T,80,T
660,S,Ib,10,PF,45,T,80,T
661,S,Ib,10,PF,45,T,80,T
662,S,Ib,10,PF,45,T,100,T
663,S,Ib,10,Nu,45,F,100,T
664,S,Ib,10,PF,45,F,120,T
665,S,Ib,10,Nu,45,T,120,T
666,S,Ib,10,Nu,45,F,140,T
667,S,Ib,10,Nu,45,T,140,T
668,S,Ib,10,Nu,45,T,160,T
669,S,Ib,10,Nu,45,T,200,T
670,S,Ib,10,Nu,20,F,220,T
671,S,Ib,10,Nu,45,F,240,T
672,S,Ib,10,PF,20,F,240,F
673,S,Ib,10,Nu,20,T,240,F
674,S,Ib,10,Nu,20,T,240,F
675,S,Ib,10,Nu,20,T,240,F
676,S,Ib,10,Nu,20,T,240,F
677,S,Ib,10,PF,20,T,240,F
678,S,Ib,10,Nu,20,F,240,F
679,S,Ib,10,PF,20,F,240,F
680,S,Ib,10,PF,20,F,240,F
681,S,Ib,10,PF,20,T,240,F
682,S,Ib,10,PF,20,F,240,F
683,S,Ib,10,PF,20,F,240,F
684,S,Ib,10,PF,20,T,240,F
685,S,Ib,10,Nu,20,F,240,F
686,S,Ib,10,Nu,20,F,240,F
687,S,Ib,10,Nu,20,F,240,F
688,S,Ib,10,PF,20,T,240,F
689,S,Ib,10,Nu,20,T,240,F
690,S,Ib,10,PF,20,T,240,F
691,S,Ib,10,Nu,,,,
692,S,Ib,10,Nu,,,,
693,S,Ib,10,Nu,,,,
694,S,Ib,10,Nu,,,,
695,S,Ib,10,Nu,,,,
696,S,Ib,10,PF,,,,
697,S,Ib,10,PF,,,,
698,S,Ib,10,PF,,,,
699,S,Ib,10,PF,,,,
700,S,Ib,10,PF,,,,
701,S,Ca,4,PF,45,T,40,T
702,S,Ca,4,PF,45,F,40,T
703,S,Ca,4,PF,45,F,40,T
704,S,Ca,4,PF,45,T,40,T
705,S,Ca,4,PF,45,T,60,T
706,S,Ca,4,PF,45,F,60,T
707,S,Ca,4,PF,45,F,60,T
708,S,Ca,4,PF,45,F,60,T
709,S,Ca,4,Nu,45,T,80,T
710,S,Ca,4,Nu,45,F,100,T
711,S,Ca,4,PF,45,T,100,T
712,S,Ca,4,Nu,45,F,100,T
713,S,Ca,4,Nu,45,F,120,T
714,S,Ca,4,PF,45,T,120,T
715,S,Ca,4,Nu,45,T,140,T
716,S,Ca,4,Nu,45,F,160,T
717,S,Ca,4,PF,20,F,180,T
718,S,Ca,4,Nu,45,T,180,T
719,S,Ca,4,Nu,45,T,180,T
720,S,Ca,4,Nu,45,F,200,T
721,S,Ca,4,Nu,45,T,240,T
722,S,Ca,4,Nu,20,F,240,F
723,S,Ca,4,Nu,20,T,240,F
724,S,Ca,4,Nu,20,T,240,F
725,S,Ca,4,PF,20,F,240,F
726,S,Ca,4,Nu,20,T,240,F
727,S,Ca,4,Nu,20,T,240,F
728,S,Ca,4,Nu,20,F,240,F
729,S,Ca,4,PF,20,T,240,F
730,S,Ca,4,PF,20,T,240,F
731,S,Ca,4,PF,20,F,240,F
732,S,Ca,4,Nu,20,F,240,F
733,S,Ca,4,Nu,20,F,240,F
734,S,Ca,4,PF,20,T,240,F
735,S,Ca,4,Nu,20,F,240,F
736,S,Ca,4,PF,20,T,240,F
737,S,Ca,4,PF,20,F,240,F
738,S,Ca,4,PF,20,T,240,F
739,S,Ca,4,PF,20,F,240,F
740,S,Ca,4,Nu,20,T,240,F
741,S,Ca,4,Nu,,,,
742,S,Ca,4,Nu,,,,
743,S,Ca,4,Nu,,,,
744,S,Ca,4,Nu,,,,
745,S,Ca,4,Nu,,,,
746,S,Ca,4,PF,,,,
747,S,Ca,4,PF,,,,
748,S,Ca,4,PF,,,,
749,S,Ca,4,PF,,,,
750,S,Ca,4,PF,,,,
