Bee number,Subsp.,Task,Hive,Date
QLH_001,Ib,Nu,,2022_06_29
QLH_002,Ib,Nu,,2022_06_29
QLH_003,Ib,Nu,,2022_06_29
QLH_004,Ib,Nu,,2022_06_29
QLH_005,Ib,Nu,,2022_06_29
QLH_006,Ib,Nu,,2022_06_29
QLH_007,Ib,Nu,,2022_06_29
QLH_008,Ib,Nu,,2022_06_29
QLH_009,Ib,Nu,,2022_06_29
QLH_010,Ib,Nu,,2022_06_29
QLH_011,Ib,IW,,2022_06_29
QLH_012,Ib,IW,,2022_06_29
QLH_013,Ib,IW,,2022_06_29
QLH_014,Ib,IW,,2022_06_29
QLH_015,Ib,IW,,2022_06_29
QLH_016,Ib,IW,,2022_06_29
QLH_017,Ib,IW,,2022_06_29
QLH_018,Ib,IW,,2022_06_29
QLH_019,Ib,IW,,2022_06_29
QLH_020,Ib,IW,,2022_06_29
QLH_021,Ib,IW,,2022_07_07
QLH_022,Ib,IW,,2022_07_07
QLH_023,Ib,IW,,2022_07_07
QLH_024,Ib,IW,,2022_07_07
QLH_025,Ib,IW,,2022_07_07
QLH_026,Ib,IW,,2022_07_07
QLH_027,Ib,IW,,2022_07_07
QLH_028,Ib,IW,,2022_07_07
QLH_029,Ib,IW,,2022_07_07
QLH_030,Ib,IW,,2022_07_07
QLH_031,Ib,IW,,2022_07_13
QLH_032,Ib,IW,,2022_07_13
QLH_033,Ib,IW,,2022_07_13
QLH_034,Ib,IW,,2022_07_13
QLH_035,Ib,IW,,2022_07_13
QLH_036,Ib,IW,,2022_07_13
QLH_037,Ib,IW,,2022_07_13
QLH_038,Ib,IW,,2022_07_13
QLH_039,Ib,IW,,2022_07_13
QLH_040,Ib,IW,,2022_07_13
QLH_041,Ib,VQ,,2022_07_11
QLH_042,Ib,NIW,,2022_07_13
QLH_043,Ib,NIW,,2022_07_13
QLH_044,Ib,NIW,,2022_07_13
QLH_045,Ib,NIW,,2022_07_13
QLH_046,Ib,NIW,,2022_07_13
QLH_047,Ib,EIW,,2022_07_13
QLH_048,Ib,EIW,,2022_07_13
QLH_049,Ib,EIW,,2022_07_13
QLH_050,Ib,EIW,,2022_07_13
QLH_051,Ib,EIW,,2022_07_13
