"","mean_RT","H2208","L2208"
"P1",4.26,4.26,0
"P2",4.322,4.322,0
"P3",4.37,4.37,0
"P4",4.708,4.708,0
"P5",4.832,4.832,0
"P6",4.932,4.922,4.942
"P7",5.018,5.018,0
"P8",5.108,5.108,0
"P9",5.246,5.246,0
"P10",5.335,5.335,0
"P11",5.618,0,5.618
"P12",5.852,5.852,0
"P13",5.956,5.956,0
"P14",6.018,6.018,0
"P15",6.108,6.108,0
"P16",6.473,6.473,0
"P17",6.535,6.535,0
"P18",6.9485,6.956,6.941
"P19",7.1485,7.128,7.169
"P20",7.376,7.376,0
"P21",7.507,7.507,0
"P22",7.803,0,7.803
"P23",7.99,7.99,0
"P24",8.61,0,8.61
"P25",8.707,8.707,0
"P26",8.817,8.817,0
"P27",9.342,9.342,0
"P28",9.693,9.721,9.665
"P29",10.376,10.376,0
"P30",10.672,10.672,0
"P31",11.2925,11.32,11.265
"P32",11.458,0,11.458
"P33",11.714,11.714,0
"P34",12.045,12.045,0
"P35",12.213,12.203,12.223
"P36",12.8685,12.872,12.865
"P37",13.034,13.031,13.037
"P38",13.782,13.789,13.775
"P39",14.168,14.168,0
"P40",14.458,14.458,0
"P41",14.709,14.685,14.733
"P42",15.051,15.051,0
"P43",15.595,0,15.595
"P44",17.147,0,17.147
"P45",17.24,17.23,17.25
"P46",17.726,17.726,0
"P47",18.047,18.03,18.064
"P48",18.512,18.512,0
"P49",19.4225,19.388,19.457
"P50",21.0805,21.077,21.084
"P51",21.649,0,21.649
"P52",22.188,22.188,0
"P53",22.38,0,22.38
"P54",22.691,0,22.691
"P55",23.104,0,23.104
"P56",23.566,0,23.566
"P57",23.7115,23.677,23.746
"P58",24.2735,24.27,24.277
"P59",24.425,24.422,24.428
"P60",24.98,24.98,0
"P61",25.125,25.118,25.132
"P62",25.7485,25.759,25.738
"P63",26.242,26.242,0
"P64",26.952,26.945,26.959
"P65",27.4315,27.428,27.435
"P66",27.6245,27.601,27.648
"P67",28.138,28.138,0
"P68",28.7585,28.752,28.765
"P69",29.4515,29.469,29.434
"P70",29.952,29.952,0
"P71",30.176,30.173,30.179
"P72",30.69,30.69,0
"P73",31.1965,31.221,31.172
"P74",31.524,31.531,31.517
"P75",31.69,31.69,0
"P76",32.482,32.482,0
"P77",32.6995,32.71,32.689
"P78",32.875,32.896,32.854
"P79",33.344,33.344,0
"P80",33.8,33.8,0
"P81",34.0405,34.013,34.068
"P82",34.4995,34.51,34.489
"P83",35.02,35.02,35.02
"P84",36.054,36.054,0
"P85",36.3955,36.399,36.392
"P86",36.496,36.496,0
"P87",36.7745,36.771,36.778
"P88",37.2055,37.213,37.198
"P89",37.544,37.544,0
"P90",38.605,38.619,38.591
"P91",38.985,38.985,0
"P92",39.2535,39.254,39.253
"P93",39.447,39.447,0
"P94",39.909,39.909,0
"P95",40.04,40.04,0
"P96",40.371,40.371,0
"P97",40.619,40.619,0
"P98",40.7535,40.75,40.757
"P99",41.019,41.019,0
"P100",41.1775,41.178,41.177
"P101",41.709,41.709,0
"P102",42.26,42.26,0
"P103",42.9875,42.998,42.977
"P104",44.253,44.253,0
"P105",44.6595,44.66,44.659
"P106",45.466,45.466,0
"P107",46.259,0,46.259
"P108",46.646,46.646,0
"P109",47.783,47.783,0
"P110",48.9,48.9,0
"P111",50.052,50.052,0
"P112",51.397,51.397,0
"P113",52.948,52.948,0
"P114",53.754,0,53.754
"P115",54.81,54.81,0
"P116",57.037,57.037,0
"P117",57.533,57.533,0
